q,p,deg_p,deg_ell,prime_levels,complete,incomplete,incomplete_levels,result_directory
2,T^3 + T + 1,3,1,2,0,2,T; T + 1,results/q2
2,T^3 + T + 1,3,2,1,0,1,T^2 + T + 1,results/q2
2,T^3 + T + 1,3,3,1,0,1,T^3 + T^2 + 1,results/q2
2,T^3 + T + 1,3,4,3,3,0,,results/q2
2,T^3 + T + 1,3,5,6,5,1,T^5 + T^3 + T^2 + T + 1,results/q2
2,T^3 + T + 1,3,6,9,9,0,,results/q2
2,T^3 + T + 1,3,7,18,18,0,,results/q2
2,T^3 + T^2 + 1,3,1,2,0,2,T; T + 1,results/q2
2,T^3 + T^2 + 1,3,2,1,0,1,T^2 + T + 1,results/q2
2,T^3 + T^2 + 1,3,3,1,0,1,T^3 + T + 1,results/q2
2,T^3 + T^2 + 1,3,4,3,3,0,,results/q2
2,T^3 + T^2 + 1,3,5,6,5,1,T^5 + T^4 + T^3 + T + 1,results/q2
2,T^3 + T^2 + 1,3,6,9,9,0,,results/q2
2,T^3 + T^2 + 1,3,7,18,18,0,,results/q2
2,T^4 + T + 1,4,1,2,0,2,T; T + 1,results/q2
2,T^4 + T + 1,4,2,1,0,1,T^2 + T + 1,results/q2
2,T^4 + T + 1,4,3,2,2,0,,results/q2
2,T^4 + T + 1,4,4,2,2,0,,results/q2
2,T^4 + T + 1,4,5,6,6,0,,results/q2
2,T^4 + T^3 + 1,4,1,2,0,2,T; T + 1,results/q2
2,T^4 + T^3 + 1,4,2,1,0,1,T^2 + T + 1,results/q2
2,T^4 + T^3 + 1,4,3,2,0,2,T^3 + T + 1; T^3 + T^2 + 1,results/q2
2,T^4 + T^3 + 1,4,4,2,1,1,T^4 + T^3 + T^2 + T + 1,results/q2
2,T^4 + T^3 + 1,4,5,6,6,0,,results/q2
2,T^4 + T^3 + T^2 + T + 1,4,1,2,0,2,T; T + 1,results/q2
2,T^4 + T^3 + T^2 + T + 1,4,2,1,0,1,T^2 + T + 1,results/q2
2,T^4 + T^3 + T^2 + T + 1,4,3,2,0,2,T^3 + T + 1; T^3 + T^2 + 1,results/q2
2,T^4 + T^3 + T^2 + T + 1,4,4,2,1,1,T^4 + T^3 + 1,results/q2
2,T^4 + T^3 + T^2 + T + 1,4,5,6,6,0,,results/q2
2,T^5 + T^2 + 1,5,1,2,0,2,T; T + 1,results/q2
2,T^5 + T^2 + 1,5,2,1,0,1,T^2 + T + 1,results/q2
2,T^5 + T^2 + 1,5,3,2,0,2,T^3 + T + 1; T^3 + T^2 + 1,results/q2
